query,Description,COG
cyoB_1,Belongs to the heme-copper respiratory oxidase family,C
group_1959,RepB plasmid partitioning protein,K
uvrA_2,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate",L
group_7542,ThiF family,H
group_7543,ThiF family,H
group_7545,DNA (cytosine-5-)-methyltransferase activity,L
group_7544,Domain of unknown function (DUF4928),S
group_4621,response to abiotic stimulus,G
group_1003,"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane",J
group_1069,-,-
group_1102,protein Z3940 or Ecs3508 SWALL Q8X976 (EMBL AE005493) (156 aa) fasta scores E(),S
group_9703,COG3209 Rhs family protein,M
group_7549,-,-
group_5252,-,-
group_5507,Evidence 4 Homologs of previously reported genes of,V
group_2963,-,-
group_4356,Domain of unknown function (DUF932),S
dauA_4_dauA_3_dauA_5_bicA,COG0659 Sulfate permease and related transporters (MFS superfamily),P
arnC_epsJ,"Glycosyl transferase, family 2",M
group_2830,LexA DNA binding domain,S
group_5773,DNA N-6-adenine-methyltransferase (Dam),KT
group_124,"3' exoribonuclease, RNase T-like",L
group_5042,COG2301 Citrate lyase beta subunit,G
group_4555,Terminase RNaseH-like domain,S
group_31,Putative phage tail protein,S
group_766,peptidoglycan catabolic process,S
group_448,-,-
intQ_intQ_3_intQ_1,Belongs to the 'phage' integrase family,L
group_7550,-,-
group_1033,COG0732 Restriction endonuclease S subunits,V
radD,Type III restriction protein res subunit,L
group_2693,-,-
group_1425,-,-
group_229,Histidine kinase,T
group_2993,Methyl-transferase,H
group_1022,"Bacterial regulatory proteins, tetR family",K
group_1289,Domain of unknown function (DUF4433),S
group_5081,-,-
group_4050,-,-
csoR,Metal-sensitive transcriptional repressor,S
group_4635,Tn3 transposase DDE domain,L
group_3840,Chromate,P
chrB1,Chromate resistance,P
rarD_1_rarD_rarD_2,Rard protein,S
group_1966,Protein of unknown function DUF262,S
group_2015,Transposase and inactivated derivatives,L
group_2151,Pfam:Inj_translocase,S
group_247,Terminase-like family,S
group_246,"viral capsid, decoration",S
group_756,-,-
group_9578,Membrane,S
group_7553,Type I restriction modification DNA specificity domain,V
group_3693,it can initiate unwinding at a nick in the DNA. It binds to the single-stranded DNA and acts in a progressive fashion along the DNA in the 3' to 5' direction,L
group_5285,Helix-turn-helix domain,L
yfdG_1_yfdG,transport,S
group_5744,sequence-specific DNA binding transcription factor activity,S
group_1149,-,-
group_1706,-,-
psiB,Plasmid SOS inhibition protein (PsiB),S
group_1799,PsiA protein,S
group_9657,-,-
group_1781,succinate dehydrogenase flavoprotein subunit,S
group_5159,-,-
xerD_3_xerC_5_xerC_2_xerD_1_xerC_7,Phage integrase family protein,L
group_7554,-,-
group_7556,-,-
group_7557,-,-
group_1353,-,-
yfjZ,"CbeA_antitoxin, type IV, cytoskeleton bundling-enhancing factor A",S
group_7559,-,-
group_7558,Inovirus Gp2,S
rapA_2,SNF2 family N-terminal domain,L
cshA,DNA helicase,L
group_3531,-,-
group_166,-,-
group_3673,-,-
group_53,COG1205 Distinct helicase family with a unique C-terminal domain including a metal-binding cysteine cluster,L
group_5789,Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol,I
group_701,-,-
group_4981,-,-
bepE_mdtB_1_mdtC_2_cnrA_acrF_2_mdtC_4_acrF_1_mdtB_2_acrF_3_mdtC_1_ttgE,AcrB/AcrD/AcrF family,V
ldh_ldh1_ldh1_1_ldh1_2,Belongs to the LDH MDH superfamily,C
group_3544,-,-
group_5080,Evidence 4 Homologs of previously reported genes of,S
group_2648,Protein of unknown function DUF262,S
group_1085,DNA helicase,L
group_582,AAA ATPase domain,L
ylpA,Enterobacterial TraT complement resistance protein,S
group_5460,tape measure protein,M
group_5338,spore coat U domain protein,S
group_7562,-,-
group_6661,-,-
group_6658,-,-
group_7563,-,-
group_5297,Protein of unknown function (DUF4054),S
group_128,-,-
group_5016,-,-
group_4030,tail collar domain protein,S
group_4692,-,-
group_2536,-,-
group_2399,Bacteriophage CII protein,S
group_4383,-,-
group_1488,Phage Mu protein F like protein,S
group_5279,HNH endonuclease,S
group_2197,-,-
group_2601,-,-
group_1466,-,-
group_5190,-,-
group_2525,"BRO family, N-terminal domain",K
group_207,-,-
group_6664,-,-
group_6670,-,-
group_6666,-,-
group_1231,Bacteriophage Lambda NinG protein,S
group_7565,Protein of unknown function (DUF2591),S
group_2449,NinB protein,S
group_104,Protein of unknown function (DUF2740),S
group_7566,-,-
group_3699,Protein of unknown function (DUF551),S
group_695,single-stranded DNA-binding protein,L
vgrG1_1_vgrG1_2,Uncharacterized protein conserved in bacteria (DUF2345),S
group_5305,-,-
group_5606,Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family,H
group_1357,-,-
group_1467,HNH endonuclease,L
group_3272,-,-
group_1404,"Psort location Cytoplasmic, score 8.96",S
group_4943,Evidence 5 No homology to any previously reported sequences,S
group_1722,-,-
group_106,Protein of unknown function (DUF2514),S
group_429,Linocin_M18 bacteriocin protein,S
group_4585,DNA (cytosine-5-)-methyltransferase activity,L
group_7567,DNA-directed DNA polymerase activity,L
group_7570,Bacteriophage replication protein O,K
group_4375,-,-
group_2649,-,-
group_2888,-,-
group_3045,sigma factor antagonist activity,T
group_1554,permease,S
group_5225,Inovirus Gp2,S
group_3289,-,-
lexA_3_lexA_2_lexA_1,LexA DNA binding domain,KT
hicA,Toxic component of a type II toxin-antitoxin (TA) system. A,J
group_4676,Caudovirus prohead serine protease,S
group_4002,capsid protein,S
malL_2_malL_1,COG0366 Glycosidases,G
group_7572,Escherichia coli O157 H7,S
pabA,anthranilate synthase,EH
group_3371,-,-
group_1936,-,-
group_914,Inovirus Gp2,S
rapA_4_rapA_2,"Superfamily II DNA RNA helicases, SNF2 family",L
ftsH_1,COG0464 ATPases of the AAA class,O
group_3794,COG1404 Subtilisin-like serine proteases,O
group_7573,"Type III restriction enzyme, res subunit",KL
hin_2_hin_1_hin_tnpR,Resolvase,L
group_4666,-,-
group_2870,helix-turn-helix domain protein,K
group_7575,response to abiotic stimulus,G
group_1123,Firmicute plasmid replication protein (RepL),L
group_7576,-,-
group_5401,Phage integrase family,L
group_7577,Protein of unknown function (DUF2971),S
group_1189,-,-
group_4257,-,-
group_1586,-,-
group_1907,-,-
group_1983,-,-
group_2019,-,-
group_7579,-,-
group_7580,Phage tail fibre adhesin Gp38,S
group_7582,peptidoglycan catabolic process,S
group_620,Phage minor tail protein,S
smc_3,Mu-like prophage protein,L
group_5137,"domain, Protein",N
group_5505,-,-
group_1391,Repressor of phase-1 flagellin,N
group_334,-,-
group_1026,protein disulfide oxidoreductase activity,S
group_902,-,-
group_6037,-,-
group_1494,-,-
group_7583,-,-
group_7613,-,-
group_7596,SprT-like family,S
group_7604,-,-
group_7585,-,-
group_7606,-,-
group_7601,Type IV secretory system Conjugative DNA transfer,U
group_7598,ATP-dependent exoDNAse (exonuclease V) alpha subunit - helicase superfamily I member,L
group_7612,-,-
group_7618,Acetyltransferase (GNAT) family,S
group_7609,PLD-like domain,I
group_7614,Type II/IV secretion system protein,NU
group_7602,Bacterial conjugation TrbI-like protein,U
group_7592,Conjugal transfer protein,U
group_7603,VirB8 protein,U
virB6,TrbL/VirB6 plasmid conjugal transfer protein,U
group_7588,-,-
group_7615,Type IV secretion system proteins,S
group_7590,"type IV secretory pathway, VirB4 components",U
group_7594,"Type IV secretory pathway, VirB3-like protein",U
group_7591,-,-
group_7610,-,-
group_7593,Transglycosylase SLT domain,M
group_7617,Restriction endonuclease,V
mazE,"Antitoxin component of a type II toxin-antitoxin (TA) system. Labile antitoxin that binds to the MazF endoribonuclease toxin and neutralizes its endoribonuclease activity. Is considered to be an 'addiction' molecule as the cell dies in its absence. Toxicity results when the levels of MazE decrease in the cell, leading to mRNA degradation. This effect can be rescued by expression of MazE, but after 6 hours in rich medium the overexpression of MazF leads to programmed cell death. Cell growth and viability are not affected when MazF and MazE are coexpressed. Both MazE and MazE-MazF bind to the promoter region of the mazE- mazF operon to inhibit their own transcription. There are 3 operators to which MazE binds. MazE has higher affinity for promoter DNA in the presence of MazF",K
group_7589,"Resolvase, N terminal domain",L
group_7619,Plasmid encoded RepA protein,S
group_7620,Protein of unknown function DUF45,S
group_7638,"Subunit R is required for both nuclease and ATPase activities, but not for modification",L
group_7631,-,-
group_7629,Protein of unknown function (DUF3696),S
group_7626,Protein of unknown function DUF262,S
group_7623,Type I restriction modification DNA specificity domain,V
group_7624,COG0286 Type I restriction-modification system methyltransferase subunit,V
group_7628,-,-
group_7636,-,-
group_7639,COG3039 Transposase and inactivated derivatives IS5 family,L
ssb_3,"Plays an important role in DNA replication, recombination and repair. Binds to ssDNA and to an array of partner proteins to recruit them to their sites of action during DNA metabolism",L
group_9449,Domain of unknown function (DUF932),L
group_7641,-,-
group_7642,TrfB plasmid transcriptional repressor,S
group_3821,phosphoglycolate phosphatase activity,S
group_2879,-,-
yycE_1,PFAM Glyoxalase bleomycin resistance protein dioxygenase,E
group_504,COG1404 Subtilisin-like serine proteases,O
ftsH_2,COG0464 ATPases of the AAA class,O
arsA_1_arsA_2,Anion-transporting ATPase,P
group_5349,-,-
group_681,-,-
group_506,COG1404 Subtilisin-like serine proteases,O
group_2670,"helix_turn_helix, Arsenical Resistance Operon Repressor",K
arsD_3_arsD,Arsenical resistance operon trans-acting repressor arsD,S
arsA_3_arsA,Arsenical pump-driving ATPase,P
arsB_2_arsB_1,Involved in arsenical resistance. Thought to form the channel of an arsenite pump,P
arsC_2_arsC_1,ArsC family,P
group_2185,transposase IS116 IS110 IS902 family,L
group_3031,transposase,L
group_4149,Integrase core domain,L
group_3481,-,-
cspB_1,Cold shock protein domain,K
group_10,Cellobiose phosphorylase,G
ydfK_2,response to cold,S
lpxP_2,Catalyzes the transfer of palmitoleate from palmitoleoyl-acyl carrier protein (ACP) to Kdo(2)-lipid IV(A) to form Kdo(2)-(palmitoleoyl)-lipid IV(A),M
fabG_4,Short-chain dehydrogenase reductase sdr,IQ
dmlR_8,LysR family transcriptional regulator,K
group_1899,-,-
group_1880,transcriptional regulator,K
group_1083,Inovirus Gp2,S
group_7654,-,-
group_7652,-,-
group_7648,Phage integrase family,L
group_7658,Phage plasmid primase P4 family,O
group_7659,-,-
group_1177,P63C domain,S
group_3131,-,-
group_4227,Protein with unknown function (DUF469),S
group_1531,defense response to bacterium,S
group_4270,"Bacteriophage lambda integrase, Arm DNA-binding domain",L
group_3193,Excisionase-like protein,S
group_2983,-,-
group_169,Transcriptional regulator,K
group_3132,"Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT",S
group_872,Putative bacterial toxin ydaT,S
group_3543,SIR2-like domain,K
nifH,involved in chromosome partitioning,D
group_2942,Belongs to the N(4) N(6)-methyltransferase family,L
group_2817,-,-
group_5442,"Recombination enhancement, RecA-dependent nuclease",S
group_3964,unfolded protein binding,S
group_2716,"Holin, phage lambda",S
group_253,Glycosyl hydrolase 108,S
group_5643,-,-
group_422,-,-
group_1155,"Phage terminase, small subunit",L
group_1403,Phage Terminase,S
group_2723,Phage portal protein,S
group_5082,N-acetylmuramoyl-L-alanine amidase activity,S
group_2702,N-acetylmuramoyl-L-alanine amidase activity,S
group_2796,Phage gp6-like head-tail connector protein,S
group_2101,Phage head-tail joining protein,S
group_5293,-,-
group_4159,Protein of unknown function (DUF2635),S
group_5583,Phage tail sheath C-terminal domain,S
group_2641,phage tail,S
group_2797,Pfam:Phage_TAC_7,S
group_2577,DNA circularisation protein N-terminus,S
group_4071,Baseplate J-like protein,S
group_5280,Uncharacterised protein conserved in bacteria (DUF2313),S
group_4133,tail collar domain protein,M
group_5089,Caudovirales tail fibre assembly protein,S
group_3198,"transferase activity, transferring glycosyl groups",M
group_3181,-,-
group_6083,Bacteriophage CI repressor helix-turn-helix domain,S
group_6080,Mu-like prophage protein gp16,S
group_7660,5'-nucleotidase,S
group_7662,COG0732 Restriction endonuclease S subunits,V
group_122,Domain of unknown function (DUF927),L
group_7663,SIR2-like domain,S
group_9408,"Hydrolyzes cAMP to 5'-AMP. Plays an important regulatory role in modulating the intracellular concentration of cAMP, thereby influencing cAMP-dependent processes",S
group_7664,-,-
group_139,Head completion stabilization protein,S
group_12,-,-
ompC_2,Belongs to the Gram-negative porin family,M
dbpA_2_recQ_1_deaD_1_dbpA_srmB_2_srmB_1_dbpA_1,helicase superfamily c-terminal domain,L
group_2889,Region found in RelA / SpoT proteins,S
group_2109,Belongs to the 'phage' integrase family,L
group_2392,-,-
group_7665,Maltose acetyltransferase,S
group_5935,Fimbrial protein,NU
mntS,-,-
group_7666,COG0732 Restriction endonuclease S subunits,V
hdfR_3_ssuR_cynR,Transcriptional regulator,K
group_1926,-,-
repE,Initiator Replication protein,L
group_3482,-,-
group_4860,CobQ/CobB/MinD/ParA nucleotide binding domain,D
group_5253,Protein of unknown function (DUF1173),S
xerC_6,Phage integrase family,L
group_4376,-,-
group_3236,-,-
group_1170,-,-
group_3032,-,-
group_3652,-,-
group_2922,"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system",S
group_2621,Helix-turn-helix XRE-family like proteins,K
group_1383,Protein of unknown function (DUF4225),S
group_2081,DNA helicase TraI,L
group_400,Type IV secretory system Conjugative DNA transfer,U
group_2873,-,-
ylpA_2,Enterobacterial TraT complement resistance protein,S
group_4586,-,-
group_127,"TraG-like protein, N-terminal region",G
group_2551,Conjugative relaxosome accessory transposon protein,S
group_3182,-,-
group_5050,F plasmid transfer operon protein,CO
group_3580,-,-
group_209,-,-
group_4065,F plasmid transfer operon protein,CO
group_1171,Type-1V conjugative transfer system mating pair stabilisation,S
group_4888,Type-F conjugative transfer system pilin assembly protein,S
group_3126,TraU protein,S
group_2818,-,-
group_3549,-,-
group_3086,-,-
group_3072,-,-
group_2479,-,-
group_4825,Sex factor F TraW protein N terminal,S
group_1818,Type-F conjugative transfer system protein (TrbI_Ftype),S
traC_1,F pilus assembly Type-IV secretion system for plasmid transfer,U
group_5563,Type IV conjugative transfer system lipoprotein (TraV),S
group_1082,ParB-like nuclease domain,K
