Gene,Annotation
group_5111,hypothetical protein
group_4980,Arsenate reductase
group_4911,hypothetical protein
group_4905,hypothetical protein
group_4871,hypothetical protein
group_4594,hypothetical protein
group_4452,hypothetical protein
group_4448,hypothetical protein
group_4032,hypothetical protein
group_4023,hypothetical protein
dprA,DNA processing protein DprA;hypothetical protein
group_3567,hypothetical protein
group_3503,hypothetical protein
group_3416,hypothetical protein
group_3388,hypothetical protein
group_3365,hypothetical protein
group_3364,hypothetical protein
group_3251,hypothetical protein
group_2951,hypothetical protein
group_2933,hypothetical protein
group_2546,hypothetical protein
group_2439,hypothetical protein
group_2328,IS110 family transposase IS1618;IS110 family transposase ISEc76
eptA_2_mcr91,Phosphoethanolamine transferase EptA;phosphoethanolamine--lipid A transferase MCR-9.1
group_2299,hypothetical protein
group_2269,hypothetical protein
group_2173,hypothetical protein
group_1991,hypothetical protein
group_1848,hypothetical protein
group_1797,hypothetical protein
group_1678,hypothetical protein
group_1606,hypothetical protein
group_1548,hypothetical protein
group_1296,hypothetical protein
group_1292,hypothetical protein
group_1182,hypothetical protein
group_1162,hypothetical protein
group_1158,hypothetical protein
group_1131,hypothetical protein
group_1109,hypothetical protein
zntR_1,HTH-type transcriptional regulator ZntR
group_558,hypothetical protein
group_514,hypothetical protein
yfjZ_yfjZ_1_yfjZ_2,Antitoxin YfjZ
kdpB_1,Potassium-transporting ATPase ATP-binding subunit
group_6267,hypothetical protein
group_6264,hypothetical protein
group_6258,hypothetical protein
group_6257,hypothetical protein
group_6252,hypothetical protein
group_6245,hypothetical protein
group_5557,dTDP-4-dehydrorhamnose 35-epimerase
group_5400,hypothetical protein;dTDP-3-amino-36-dideoxy-alpha-D-galactopyranose transaminase
group_5022,hypothetical protein
group_4284,hypothetical protein
group_3274,hypothetical protein
group_2825,hypothetical protein
group_2664,hypothetical protein
group_2283,hypothetical protein
group_2258,hypothetical protein
group_2246,hypothetical protein
group_1776,Toxin YpjF;Toxin YkfI
fdtA,TDP-4-oxo-6-deoxy-alpha-D-glucose-34-oxoisomerase
group_1531,hypothetical protein
group_1409,hypothetical protein
group_1326,hypothetical protein
group_1151,hypothetical protein
arsH_arsH_2,NADPH-dependent FMN reductase ArsH
group_167,hypothetical protein
group_6266,hypothetical protein
group_6253,Type IV secretion system protein virB9
nuc,hypothetical protein;Thermonuclease
group_6250,Type IV secretion system protein VirB11
group_6247,hypothetical protein;Type IV secretion system protein virB10
pglJ,N-acetylgalactosamine-NN'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
group_5630,hypothetical protein
arsH,NADPH-dependent FMN reductase ArsH
group_4416,hypothetical protein
group_4343,hypothetical protein
group_4034,hypothetical protein
group_3650,hypothetical protein
group_3608,hypothetical protein
group_3585,hypothetical protein
wzxE_1_wzxE_2,Lipid III flippase
group_3315,hypothetical protein
group_3101,hypothetical protein
group_2586,hypothetical protein
group_2521,hypothetical protein
group_2271,hypothetical protein
group_2244,hypothetical protein
group_2227,hypothetical protein
group_2218,hypothetical protein
group_2061,hypothetical protein
group_1978,hypothetical protein
group_1904,hypothetical protein
group_1637,hypothetical protein
group_1473,hypothetical protein
group_1422,hypothetical protein
group_1421,hypothetical protein
group_1332,hypothetical protein
group_1281,hypothetical protein
group_1126,hypothetical protein
sigL,ECF RNA polymerase sigma factor SigL
group_1069,hypothetical protein
arsD_1_arsD_2,Arsenical resistance operon trans-acting repressor ArsD
group_901,hypothetical protein
group_861,hypothetical protein
group_754,hypothetical protein
group_522,hypothetical protein
group_370,hypothetical protein
group_328,hypothetical protein
group_6256,hypothetical protein
group_6010,hypothetical protein
group_5808,hypothetical protein
group_5539,hypothetical protein
group_5530,hypothetical protein
group_5476,hypothetical protein
group_5430,hypothetical protein
group_5209,hypothetical protein
group_5199,hypothetical protein
group_4805,hypothetical protein
group_4571,hypothetical protein
group_4568,hypothetical protein
group_4059,IS630 family transposase ISEc33
group_3981,hypothetical protein
group_3253,hypothetical protein
group_2977,hypothetical protein
malX_1,PTS system maltose-specific EIICB component
group_1971,hypothetical protein
group_1871,hypothetical protein
group_1754,hypothetical protein
group_1745,IS5 family transposase ISPan1;hypothetical protein;IS5 family transposase IS903
group_1730,hypothetical protein
group_1723,hypothetical protein
group_1711,hypothetical protein
group_1710,hypothetical protein
group_1705,hypothetical protein
traC,Protein TraC
group_1660,hypothetical protein
group_1659,hypothetical protein
group_1626,hypothetical protein
group_1611,hypothetical protein
group_1546,Protein TraV
group_1545,hypothetical protein
group_1518,hypothetical protein
ylpA_2_ylpA_1,Lipoprotein YlpA
group_1304,hypothetical protein
group_1019,hypothetical protein
group_960,hypothetical protein
group_900,hypothetical protein
group_881,hypothetical protein
group_854,hypothetical protein
group_741,hypothetical protein
group_613,hypothetical protein
group_612,hypothetical protein
group_472,hypothetical protein
group_442,hypothetical protein
group_372,hypothetical protein
group_325,hypothetical protein
group_259,hypothetical protein
group_216,hypothetical protein
group_215,hypothetical protein
group_57,hypothetical protein
group_32,hypothetical protein
group_6251,hypothetical protein
group_5894,hypothetical protein
group_5889,hypothetical protein
group_5705,hypothetical protein
group_5696,hypothetical protein
group_5460,hypothetical protein
group_5331,hypothetical protein
group_5150,hypothetical protein
group_5119,hypothetical protein
group_5089,hypothetical protein
group_5039,hypothetical protein
group_5033,hypothetical protein
group_4918,hypothetical protein
group_4625,hypothetical protein
group_4589,hypothetical protein
group_4515,hypothetical protein
group_4464,hypothetical protein
group_4270,hypothetical protein
group_4089,hypothetical protein
group_3955,hypothetical protein
group_3689,hypothetical protein
group_3343,hypothetical protein
group_3198,hypothetical protein
group_3181,hypothetical protein
group_2834,hypothetical protein
group_2516,hypothetical protein
group_2297,hypothetical protein
group_2245,hypothetical protein
group_2235,hypothetical protein
ygiW_2_ygiW_3_ygiW_1,Protein YgiW;hypothetical protein
fdhA,Glutathione-independent formaldehyde dehydrogenase
group_1357,hypothetical protein
group_1347,hypothetical protein
group_1285,hypothetical protein
era_1_der_1,GTPase Era;GTPase Der
group_1123,hypothetical protein
group_1003,hypothetical protein
group_886,hypothetical protein
group_724,hypothetical protein
group_481,hypothetical protein
group_408,hypothetical protein
group_397,hypothetical protein
group_304,hypothetical protein
group_252,hypothetical protein
group_139,hypothetical protein
group_4,hypothetical protein
group_5466,hypothetical protein
group_4457,hypothetical protein
group_4304,hypothetical protein
group_4303,hypothetical protein
group_4297,hypothetical protein
group_4199,hypothetical protein
group_4170,hypothetical protein
group_4132,hypothetical protein
group_4074,hypothetical protein
group_4026,hypothetical protein
group_3728,hypothetical protein
group_3624,hypothetical protein
group_3137,hypothetical protein
group_2940,hypothetical protein
group_2768,hypothetical protein
xerC_4,Tyrosine recombinase XerC
group_2483,Drug efflux pump JefA
group_2259,hypothetical protein
group_1642,hypothetical protein
group_1319,hypothetical protein
group_1137,hypothetical protein
group_1102,hypothetical protein
group_853,hypothetical protein
group_842,hypothetical protein
group_755,hypothetical protein
group_414,hypothetical protein
group_34,hypothetical protein
group_6265,hypothetical protein
group_6263,hypothetical protein
group_6246,hypothetical protein
group_5865,hypothetical protein
yfdG_1_yfdG,Prophage bactoprenol-linked glucose translocase;hypothetical protein
group_4916,hypothetical protein
group_4887,hypothetical protein
group_4583,hypothetical protein
group_4258,hypothetical protein
group_4008,hypothetical protein
group_3569,hypothetical protein
group_3434,hypothetical protein
group_2827,hypothetical protein
group_2630,hypothetical protein
group_2610,hypothetical protein
umuC_4_umuC_umuC_2,Protein UmuC
group_1915,hypothetical protein
cmpR_2_hdfR_4_yofA,HTH-type transcriptional activator CmpR;HTH-type transcriptional regulator HdfR;HTH-type transcriptional regulator YofA
group_1900,hypothetical protein
group_1865,hypothetical protein
group_1822,hypothetical protein
group_1785,hypothetical protein
group_1784,hypothetical protein
group_1280,ATP-dependent DNA helicase Rep
group_1254,hypothetical protein
group_1013,hypothetical protein
group_1009,hypothetical protein
group_998,hypothetical protein
group_905,hypothetical protein
group_707,hypothetical protein
group_548,hypothetical protein
group_439,hypothetical protein
group_321,hypothetical protein
group_186,hypothetical protein
group_165,hypothetical protein
group_6684,hypothetical protein
group_6269,hypothetical protein
group_6268,hypothetical protein
group_6261,hypothetical protein
group_6260,Type IV secretion system protein virB4;hypothetical protein
virB1,Type IV secretion system protein virB1
group_6259,hypothetical protein
group_6249,hypothetical protein
group_6248,Type IV secretion system protein PtlE
group_6070,hypothetical protein
group_6034,hypothetical protein
group_5858,hypothetical protein
group_5617,hypothetical protein
group_5372,hypothetical protein
group_5139,hypothetical protein
group_5117,hypothetical protein
group_5047,hypothetical protein
group_5030,hypothetical protein
group_4973,hypothetical protein
group_4917,hypothetical protein
group_4533,hypothetical protein
group_4426,hypothetical protein
group_4373,hypothetical protein
group_4264,hypothetical protein
group_4164,hypothetical protein
group_4128,hypothetical protein
group_3848,hypothetical protein
group_3538,hypothetical protein
czcD,Metal cation efflux system protein CzcD
group_2992,hypothetical protein
group_2910,hypothetical protein
group_2844,hypothetical protein
group_2811,hypothetical protein
group_2706,hypothetical protein
group_2248,hypothetical protein
bar_yncA,Phosphinothricin N-acetyltransferase;L-methionine sulfoximine/L-methionine sulfone acetyltransferase
group_1340,hypothetical protein
group_1302,hypothetical protein
group_801,hypothetical protein
group_748,hypothetical protein
group_747,hypothetical protein
group_573,hypothetical protein
aer_2,Aerotaxis receptor
group_6055,hypothetical protein
group_5812,hypothetical protein
group_5663,hypothetical protein
group_5609,hypothetical protein
group_5481,hypothetical protein
group_5477,hypothetical protein
group_5375,hypothetical protein
group_5017,hypothetical protein
group_4882,hypothetical protein
group_4821,hypothetical protein
group_4761,hypothetical protein
group_4750,hypothetical protein
group_4671,hypothetical protein
group_4627,hypothetical protein
group_4578,hypothetical protein
group_4318,hypothetical protein
group_4288,putative oxidoreductase
group_4156,hypothetical protein
group_4077,hypothetical protein
dnaC_2_dnaC_3,DNA replication protein DnaC
hdfR_2,hypothetical protein;HTH-type transcriptional regulator HdfR
hin_1,hypothetical protein;DNA-invertase hin
group_3252,hypothetical protein
group_3193,hypothetical protein
group_2983,hypothetical protein
group_2877,hypothetical protein
group_2776,hypothetical protein
aplIM,Modification methylase AplI
group_2665,hypothetical protein
rssA_2_qseC_sasA_2,Swarming motility regulation sensor protein RssA;Sensor protein QseC;Adaptive-response sensory-kinase SasA
group_2284,IS481 family transposase ISAzs36
group_2282,hypothetical protein
